Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr,ssim,vmaf,
0,1.000002,1.000008,1.000000,1.000001,1.000000,0.000000,0.000000,0.999996,0.999995,0.999995,0.999995,60.000000,1.000000,97.427769,
1,1.000002,1.000008,1.000000,1.000001,1.000001,0.328292,0.328292,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.884586,
2,1.000002,1.000008,1.000000,1.000001,1.000001,0.008763,0.990942,0.999996,0.999995,0.999995,0.999995,60.000000,1.000000,97.439983,
3,1.000002,1.000008,1.000000,1.000001,1.000001,0.008763,0.008763,0.999996,0.999996,0.999995,0.999995,60.000000,1.000000,97.439977,
4,1.000002,1.000008,1.000000,1.000001,1.000001,1.233788,1.233788,0.999996,0.999995,0.999995,0.999995,60.000000,1.000000,99.136422,
5,1.000001,1.000006,1.000000,1.000001,1.000001,0.007687,1.403222,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.438389,
6,1.000001,1.000006,1.000000,1.000001,1.000000,0.007687,0.007687,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.438362,
7,1.000001,1.000005,1.000001,1.000001,1.000000,2.692617,2.692617,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,100.000000,
8,1.000001,1.000005,1.000000,1.000001,1.000001,0.317878,3.968377,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,97.869943,
9,1.000001,1.000005,1.000000,1.000001,1.000001,0.317878,0.317878,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,97.869939,
10,1.000001,1.000006,1.000000,1.000001,1.000000,1.311845,1.815426,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,99.243622,
11,1.000001,1.000005,1.000000,1.000001,1.000001,0.267930,1.311845,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.800561,
12,1.000001,1.000005,1.000000,1.000001,1.000000,0.267930,0.267930,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.800545,
13,1.000001,1.000004,1.000000,1.000001,1.000001,3.712792,3.712792,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,100.000000,
14,1.000001,1.000004,1.000000,1.000001,1.000000,0.115365,4.163044,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,97.588269,
15,1.000001,1.000004,1.000000,1.000001,1.000000,0.115365,0.115365,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,97.588239,
16,1.000001,1.000005,1.000000,1.000001,1.000000,4.194227,4.194227,0.999995,0.999995,0.999995,0.999994,60.000000,1.000000,100.000000,
17,1.000001,1.000004,1.000000,1.000001,1.000001,0.019908,4.833540,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.455241,
18,1.000001,1.000004,1.000000,1.000001,1.000001,0.019908,0.019908,0.999994,0.999995,0.999994,0.999994,60.000000,1.000000,97.455226,
19,1.000001,1.000004,1.000000,1.000001,1.000001,5.600155,5.600155,0.999994,0.999995,0.999994,0.999994,60.000000,1.000000,100.000000,
20,1.000001,1.000004,1.000000,1.000001,1.000000,0.111972,5.662559,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.583517,
21,1.000001,1.000004,1.000000,1.000001,1.000000,0.111972,0.111972,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.583507,
22,1.000001,1.000004,1.000000,1.000001,1.000000,6.433567,6.433567,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,100.000000,
23,1.000001,1.000004,1.000000,1.000001,1.000000,0.040554,6.589257,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.484034,
24,1.000001,1.000004,1.000000,1.000001,1.000000,0.040554,0.040554,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.484021,
25,1.000001,1.000003,1.000000,1.000001,1.000000,6.462201,6.462201,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,100.000000,
26,1.000001,1.000003,1.000000,1.000001,1.000000,0.082589,6.567416,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.542557,
27,1.000001,1.000003,1.000000,1.000001,1.000000,0.082589,0.082589,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.542539,
28,1.000001,1.000003,1.000000,1.000001,1.000001,5.914865,6.375126,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,100.000000,
29,1.000001,1.000003,1.000000,1.000001,1.000001,0.024042,5.914865,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.460976,
30,1.000001,1.000003,1.000000,1.000001,1.000001,0.024042,0.024042,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.460966,
31,1.000001,1.000003,1.000000,1.000001,1.000001,0.050357,5.746368,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.497621,
32,1.000001,1.000003,1.000000,1.000001,1.000001,0.050357,0.050357,0.999994,0.999994,0.999994,0.999994,60.000000,1.000000,97.497637,
33,1.000001,1.000003,1.000000,1.000000,1.000000,5.148392,5.949339,0.999993,0.999994,0.999994,0.999994,60.000000,1.000000,100.000000,
34,1.000001,1.000003,1.000000,1.000001,1.000000,0.317099,5.148392,0.999993,0.999993,0.999993,0.999993,60.000000,1.000000,97.868641,
35,1.000001,1.000003,1.000000,1.000000,1.000000,0.317099,0.317099,0.999993,0.999993,0.999994,0.999993,60.000000,1.000000,97.868621,
36,1.000001,1.000003,1.000000,1.000001,1.000001,4.362012,4.416159,0.999993,0.999993,0.999993,0.999993,60.000000,1.000000,100.000000,
37,1.000001,1.000004,1.000000,1.000001,1.000000,0.010011,4.362012,0.999992,0.999993,0.999993,0.999993,60.000000,1.000000,97.441316,
